answer_letter,top_question,top_count,top_pct,second_question,second_count,second_pct,top_gap_pct,reverse_entropy
A,38,7,20.59,39,5,14.71,5.88,0.9083
B,40,8,18.18,38,7,15.91,2.27,0.8972
C,37,13,27.66,36,6,12.77,14.89,0.9219
D,39,11,22.0,36,8,16.0,6.0,0.9137
E,36,12,24.49,41,7,14.29,10.2,0.9232
F,36,11,24.44,42,6,13.33,11.11,0.9281
G,36,7,14.29,39,7,14.29,0.0,0.965
H,37,7,14.89,41,7,14.89,0.0,0.9343
I,37,6,13.64,44,6,13.64,0.0,0.9839
J,43,8,19.51,38,8,19.51,0.0,0.9033
K,45,7,17.5,39,6,15.0,2.5,0.9349
L,43,7,22.58,41,5,16.13,6.45,0.9207
M,40,5,20.83,38,4,16.67,4.17,0.9492
N,45,8,40.0,38,2,10.0,30.0,0.8194
O,41,4,26.67,43,3,20.0,6.67,0.7846
P,43,2,33.33,41,1,16.67,16.67,0.6778
Q,36,1,33.33,41,1,33.33,0.0,0.4771
R,40,1,100.0,36,0,0.0,100.0,-0.0
